salary,workYear,district,positionName,positionAdvantage,education,companyFullName,createTime
7k-14k,不限,南山区,C/python工程师,"五险一金,发挥空间,技术氛围",本科,深圳创景世界科技有限公司,2017-09-25 16:47:11
10K-18K,3-5年,南山区,python/django,年底双薪，加班餐补,不限,深圳市卓泰居网络科技有限公司,2017-09-28 14:16:46
6k-12k,1-3年,南山区,python开发工程师,"两次调薪,股权激励,双休,年终奖",大专,深圳市瑞驰信息技术有限公司,2017-09-25 10:35:00
25k-45k,3-5年,南山区,高级量化交易系统开发工程师 (Python),"牛人多,环境好,季度奖,年终奖",本科,广发证券股份有限公司,2017-09-12 10:38:58
8k-16k,1-3年,南山区,python开发,"发展前景,环境好,双休,氛围好",本科,深圳市找库科技有限公司,2017-09-28 15:29:32
15k-25k,3-5年,南山区,Go/Python架构师,"腾讯系团队,轻松氛围,成长空间大,期权",本科,深圳开黑科技有限公司,2017-09-28 10:05:48
8K-15K,1-3年,福田区,Python开发工程师,五险一金，年底双薪，弹性工作，节日福利,大专,深圳中软泰达科技有限公司,2017-09-26 14:52:14
20k-25k,3-5年,南山区,Python AI工程师,"五险一金,提供住宿,员工旅游",本科,深圳市南方网通网络技术开发有限公司,2017-09-27 09:11:56
8k-16k,不限,龙岗区,Python 研发工程师,"弹性工作,免费宿舍,年底双薪,项目奖金",不限,深圳市百高汇科技发展有限公司,2017-09-25 10:42:32
15k-30k,1-3年,福田区,Python 开发工程师,公司福利好，执行力强，开放式办公。,本科,深圳小伏科技有限公司,2017-09-02 23:49:46
15k-30k,1-3年,龙岗区,高级 Python 研发工程师,"弹性工作,带薪休假,年底双薪,项目奖金",不限,深圳市百高汇科技发展有限公司,2017-09-25 10:42:34
15k-30k,1-3年,福田区,Python 开发工程师,公司福利好，执行力强，开放式办公。,本科,深圳小伏科技有限公司,2017-09-02 23:49:46
8k-15k,1-3年,南山区,Python工程师,高逼格办公环境、乐高随便玩、弹性工作制,本科,深圳波罗创意科教有限公司,2017-09-18 14:09:24
6k-10k,1-3年,福田区,Python,核心产品研发，运维转开发,本科,傲讯全通科技（深圳）有限公司,2017-09-21 10:41:07
10k-20k,1-3年,福田区,Node/Java/PHP/Python后端工程师,"五险一金,福利多多,补贴,旅游",本科,深圳市必易网络科技有限公司,2017-09-28 17:23:30
15k-30k,3-5年,宝安区,Python,"牛人团队,薪资高,福利好",大专,武汉佰钧成技术有限责任公司,2017-09-20 11:25:22
10k-15k,1-3年,南山区,Python开发工程师,做五休二 发展前景好 地铁口 五险一金,本科,深圳网脊科技开发有限公司,2017-09-13 17:29:31
9k-15k,1-3年,龙华新区,python开发工程师,"五险一金,周末双休,年终奖,加班补贴",大专,深圳市泰信通信息技术有限公司,2017-09-20 10:49:30
11k-18k,1-3年,南山区,python开发工程师,"成长机会,高手如云,环境好,氛围轻松",本科,浪潮通用软件有限公司深圳研发中心,2017-09-05 15:26:40
8K-15K,3-5年,龙华新区,PYTHON讲师,五险一金，年假，过节福利，各种补贴,不限,深圳市鑫鼎顺科技有限公司,2017-09-24 17:36:01
8k-15k,1-3年,福田区,Python工程师,网络爬虫,本科,深圳前海九慧金服科技有限公司,2017-09-11 20:06:55
15k-20k,3-5年,福田区,Python AI 高级工程师,"双休,五险一金,良好氛围,带薪年假",硕士,深圳华策辉弘科技有限公司,2017-09-28 09:47:31
6k-12k,1-3年,南山区,Python开发工程师,"成长快,挑战性强",大专,深圳市龙数信息技术有限公司,2017-08-29 17:04:08
15k-25k,3-5年,福田区,高级后端工程师（python、Go）,五险一金，年底双薪，氛围好，双休不打卡,本科,深圳晶泰科技有限公司,2017-09-28 17:04:47
7k-12k,1-3年,,Python开发工程师,想要用技术成就一个伟大的产品，你就来吧。,本科,深圳爱聚印科技有限公司,2017-09-04 22:13:40
15k-25k,5-10年,南山区,高级Python后台开发工程师,双休 不打卡 教育行业 创业公司 挑战大,本科,深圳波罗创意科教有限公司,2017-09-18 14:09:22
11k-20k,1-3年,南山区,Python ，Django工程师,"五险一金,免费旅游,年底双薪,带薪休假",本科,杭州洽豪科技有限公司,2017-09-25 10:44:30
5k-8k,不限,宝安区,Python助理开发工程师,O2O,本科,深圳市点趣网络技术有限公司,2017-09-28 09:32:35
8k-15k,1-3年,南山区,Python开发工程师,开发,大专,深圳纳实大数据技术有限公司,2017-09-13 09:17:54
12k-24k,5-10年,南山区,python金融分析周末班兼职讲,"环境好,氛围好,人nice",本科,深圳市泽林信息咨询有限公司,2017-09-29 09:00:39
12k-22k,1-3年,南山区,python后台开发工程师,"年轻团队,互联网,期权",本科,深圳市观麦网络科技有限公司,2017-09-06 15:40:41
14k-28k,5-10年,龙华新区,python运维开发,"待遇好,有激情,提供平台,团队氛围好",不限,武汉佰钧成技术有限责任公司,2017-09-20 16:18:14
7k-13k,1-3年,宝安区,python助教老师（项目经理）,"五险一金,旅游,年度体检,晋升",大专,北京千锋互联科技有限公司,2017-09-29 09:25:48
15k-25k,1-3年,福田区,Python工程师（机器学习）-深圳,六险一金、弹性工作、奖金丰厚、技术牛人多,本科,北京国双科技有限公司,2017-09-25 15:46:46
8k-12k,不限,宝安区,游戏后端（python）,福利,不限,江西省互乐科技有限公司,2017-09-27 11:45:52
10k-15k,1-3年,南山区,Python Web Developer 工程师,"靠谱项目,位置优越,优质待遇",本科,深圳市龙元汇信科技股份有限公司,2017-09-25 18:05:08
15k-25k,1-3年,宝安区,后端Python开发工程师,"期股权,扁平化管理,环境高大上,氛围棒",大专,深圳及目科技有限公司,2017-09-06 16:00:52
10k-18k,不限,南山区,c++（python）开发工程师,"金融大项目,牛人多,周末双休,错峰上下班",大专,文思海辉技术有限公司,2017-09-29 10:51:19
8k-16k,不限,盐田区,Python爬虫工程师,人工智能产品+高精尖团队+极具竞争薪酬,本科,深圳码隆科技有限公司,2017-09-27 12:02:18
8k-12k,1-3年,宝安区,python培训讲师,"五险一金,绩效奖金,团队建设,差旅补贴",大专,深圳图灵创新科技有限公司,2017-09-28 11:28:40
12k-24k,5-10年,南山区,Python金融分析周末班兼职讲,"环境好,氛围好,人nice",本科,深圳市泽林信息咨询有限公司,2017-09-29 09:00:39
6k-12k,不限,南山区,Python工程师 （后台开发）,"双休,下午茶,包住宿,股权",大专,深圳市铺铺旺电子商务有限公司,2017-09-26 15:42:06
10k-20k,1-3年,南山区,Go/Python后端攻城狮,"高速成长,期权激励,工程师文化,五险一金",本科,深圳市红树科技有限公司,2017-09-26 10:53:28
15k-25k,3-5年,福田区,科学计算软件开发工程师（ Python、C/C++、Fortran）,五险一金，年底双薪，氛围好，双休不打卡,本科,深圳晶泰科技有限公司,2017-09-28 17:04:47
10k-20k,1-3年,南山区,python游戏服务器开发,"游戏,Linux,服务器",大专,深圳趣凡网络科技有限公司,2017-09-25 18:06:14
18k-35k,3-5年,福田区,高级Python工程师（机器人）,"机器人,软件工程,前沿技术,股权",本科,August Robotics Limited,2017-09-08 19:39:46
20k-40k,3-5年,南山区,web/python全栈工程师,"团队大牛多,奖金丰厚",本科,广州甄仕企业管理咨询有限公司,2017-09-25 09:31:12
10k-20k,不限,南山区,后台开发（C＋＋及python）,"有挑战,有指导,技术提升快",本科,九康科技（深圳）有限公司,2017-09-05 10:33:08
12k-22k,1-3年,南山区,服务器工程师(go/python),"发展空间大,弹性工作,技术氛围,股权期权",本科,深圳以太科技有限公司,2017-09-13 14:15:09
8k-15k,1-3年,南山区,Python工程师（爬虫方向）,"五险一金,团建,生日会,餐补",本科,深圳市一面网络技术有限公司,2017-09-26 11:31:06
15K-25K,1-3年,南山区,Python 爬虫工程师,"挑战大,深入参与人工智能算法",本科,深圳市麦克斯韦数据科技有限公司,2017-09-22 17:46:39
8k-12k,不限,南山区,python爬虫工程师,"数据分析,核心岗位,学习机会多,成长迅速",本科,深圳有来科技有限公司,2017-09-20 10:48:08
20k-40k,3-5年,福田区,高级后台开发（Java/C++/Python/ph,"高薪酬,好平台,稳定上升空",本科,深圳市汇诚行信息科技股份有限公司,2017-09-28 09:25:54
12k-24k,不限,南山区,Python后台架构师 （后台开发）,"双休,股权,下午茶,包住",本科,深圳市铺铺旺电子商务有限公司,2017-09-26 15:40:31
18k-25k,1年以下,罗湖区,python工程师,"互联网金融,高速发展,五险一金,金融中心",大专,深圳众禄金融控股股份有限公司,2017-09-28 13:49:08
18k-25k,3-5年,罗湖区,Python开发工程师,"新三板,互联网金融,团队氛围",大专,深圳众禄金融控股股份有限公司,2017-09-26 08:50:48
18k-25k,3-5年,罗湖区,python工程师,"互联网金融,高速发展,五险一金,金融中心",大专,深圳众禄金融控股股份有限公司,2017-09-26 08:50:48
18k-25k,3-5年,罗湖区,Python开发工程师,"团队氛围,高速发展,互联网金融,五险一金",大专,深圳众禄金融控股股份有限公司,2017-09-28 13:49:08
15k-30k,3-5年,南山区,蓝鲸SaaS后台开发工程师（python）,"五险一金,带薪休假,绩效奖金",本科,腾讯科技(深圳)有限公司,2017-09-25 09:54:30
15k-30k,3-5年,南山区,web/python全栈工程师,"五险一金,餐饮补贴,无上限薪资",本科,深圳市乐易网络有限公司,2017-09-29 09:14:52
